@Ordspråk|Vad är
Buffalo Stance|Neneh Cherry blandade pop, hiphop och dansmusik i denna internationella hit som släpptes mot slutet av årtiondet.

@Musik på 1990-talet|Vad är
Zombie|The Cranberries släppte 1994 denna mörka rocklåt inspirerad av våldet i Nordirland.
...Baby One More Time|Britney Spears slog igenom internationellt med denna popsingel från 1998 och en skolmiljö i musikvideon.
Tubthumping|Chumbawamba fick 1997 en global hit med refrängen om att bli nedslagen och resa sig igen.
No Scrubs|TLC sjunger om att inte vilja ha en man utan ambition eller resurser i denna R&B-hit från 1999.
Losing My Religion|R.E.M. använde mandolin som bärande instrument i denna stora alternativrockhit från 1991.
Creep|Radioheads tidiga hit från 1992 bygger på starka dynamiska kontraster och ett plötsligt distat gitarrhugg före refrängen.
Killing Me Softly|Fugees gjorde 1996 en mycket framgångsrik version av en äldre låt med Lauryn Hill i centrum.
Nothing Compares 2 U|Sinéad O'Connor fick en enorm hit med denna Prince-komposition och en avskalad musikvideo med hennes ansikte i närbild.
Torn|Natalie Imbruglia fick sitt internationella genombrott med denna låt, som i själva verket var en cover av en tidigare inspelad komposition.
I Want It That Way|Backstreet Boys gjorde denna Max Martin-producerade ballad till en av pojkbands-erans mest kända låtar.
Bitter Sweet Symphony|The Verve använde ett orkestralt sample i denna brittiska hit som ledde till en lång upphovsrättstvist.
Groove Is in the Heart|Deee-Lite blandade funk, house och färgstark klubbestetik i denna danshit från 1990.
Common People|Pulp sjunger satiriskt om klass och en rik student som vill leva som vanliga människor i denna britpopklassiker.
You Oughta Know|Alanis Morissette fick sitt stora genombrott med denna intensiva singel från albumet Jagged Little Pill.
Paranoid Android|Radiohead kombinerade flera musikaliska delar i denna sex minuter långa singel från OK Computer.
Sabotage|Beastie Boys byggde denna aggressiva låt på distad bas och en humoristisk musikvideo som parodierar 1970-talets polisserieestetik.
Protection|Massive Attack och Tracey Thorn skapade denna triphoplåt med långsamt beat och sårbar sång.
Hyperballad|Björk kombinerade personlig text med elektroniska rytmer och stråkar i denna singel från albumet Post.
Virtual Insanity|Jamiroquai blev starkt förknippade med denna funkpoplåt och en musikvideo där golvet tycks röra sig under sångaren.
Around the World|Daft Punk upprepar i princip bara titelorden som text över ett hypnotiskt elektroniskt groove i denna låt från 1997.
Windowlicker|Aphex Twin släppte denna komplexa elektroniska singel 1999 tillsammans med en provocerande och surrealistisk musikvideo.
California Love|2Pac och Dr. Dre skapade denna västkusthiphophit med talk box-sång av Roger Troutman.
Doo Wop (That Thing)|Lauryn Hill debuterade som soloartist med denna låt som blandar modern hiphop med klassisk soul.
Praise You|Fatboy Slim fick en stor hit med denna låt vars lågbudgetvideo visar en improviserad dansgrupp utanför en biograf.
Ray of Light|Madonna kombinerade pop med elektronisk dansmusik i denna snabba titelhit från albumet 1998.

@Svenska artister genom tiderna|Vem är
Mauro Scocco|Han slog igenom i gruppen Ratata och byggde senare en framgångsrik solokarriär som popartist och låtskrivare.
Niklas Strömstedt|Han slog igenom som svensk popartist och låtskrivare på 1980-talet och är känd för bland annat ”Om”.
Louise Hoffsten|Hon är född i Linköping och har byggt en lång karriär som sångare och munspelare inom blues, rock och pop.
Peter LeMarc|I slutet av 1980-talet fick han ett stort genombrott med personliga svenskspråkiga rock- och poplåtar.
Povel Ramel|Han skapade ett enormt antal humoristiska sånger, revyer och ordlekar och grundade Knäppupp-produktionerna.
Lill-Babs|Barbro Svensson från Järvsö hade en mycket lång karriär inom schlager och underhållning från 1950-talet och framåt.
Siw Malmkvist|Hon fick stora framgångar både i Sverige och Västtyskland och representerade Sverige i Eurovision 1960.
Owe Thörnqvist|Uppsalaartisten blandade visa, rock'n'roll och humor i låtar som ”Varm korv boogie”.
Anne-Lie Rydé|Hon slog igenom på 1980-talet med rock och pop och har senare även tolkat äldre svenska schlagers.
Alice Babs|Hon var jazzsångerska, filmstjärna och den första svenska deltagaren i Eurovision Song Contest 1958.
Jan Johansson|Jazzpianisten skapade det inflytelserika albumet Jazz på svenska med fria tolkningar av svenska folkvisor.
Peps Persson|Artisten från Skåne översatte reggae och blues till svenska förhållanden och spelade med grupper som Blodsband.
Marie Fredriksson|Hon var sångare i Roxette tillsammans med Per Gessle och hade även en framgångsrik svensk solokarriär.
Jakob Hellman|Han fick kultstatus med debutalbumet …och stora havet från 1989 och väntade sedan mer än tre decennier med nästa studioalbum.
Orup|Thomas Eriksson skrev och sjöng svensk pop med stora 1980- och 1990-talshits och ingick senare i supergruppen GES.
Titiyo|Hon blev en viktig svensk soul- och popartist och fick ett stort internationellt genombrott med ”Come Along”.
Neneh Cherry|Hon blandade hiphop, pop och klubbmusik och slog igenom internationellt med ”Buffalo Stance”.
Marie Bergman|Hon var medlem i Family Four och har som soloartist representerat Sverige i Eurovision flera gånger.
Ola Magnell|På 1970-talet blev han känd för egensinniga texter och låtar som ”Påtalåten”.
Amanda Bergman|Hon har varit medlem i Amason och är känd för en lågmäld, särpräglad sångröst.
Oskar Linnros|Han var medlem i Snook innan han blev framgångsrik soloartist och producent med modern svensk pop.
Seinabo Sey|Under 2010-talet fick hon internationell uppmärksamhet med en kraftfull soul- och popstil.
Eagle-Eye Cherry|Han fick en världshit 1997 med ”Save Tonight” och är son till jazzmusikern Don Cherry.
Lisa Ekdahl|Hon slog igenom 1994 med ett jazzigt och visinfluerat uttryck och en mycket karakteristisk ljus röst.
Thåström|Han var frontfigur i Ebba Grön och Imperiet innan han byggde en lång solokarriär inom mörk svensk rock.

@Jazz och blues|Vad är
improvisation|Musikern skapar melodier och variationer i stunden över ackord, form och rytm i denna centrala del av jazztraditionen.
bluesens tolv takter|En återkommande harmonisk grundform med tre huvudackord sträcker sig ofta över detta antal takter.
blue notes|Toner kring sänkt ters, kvint eller septima används uttrycksfullt mellan dur och moll i blues och jazz.
swing|Rytmen delas ojämnt så att åttondelar får ett gungande långt-kort-förhållande i denna grundläggande jazzkänsla.
call and response|En fras besvaras av en annan röst eller ett instrument genom denna musikaliska dialog med rötter i afrikanska traditioner.
bebop|Snabba tempon, avancerade ackord och virtuos improvisation präglade denna jazzstil som växte fram på 1940-talet.
cool jazz|Mer återhållet uttryck, mjukare klang och arrangerade detaljer kännetecknade denna stil med bland andra Miles Davis tidiga 1950-talsprojekt.
hard bop|Bebop blandades med mer blues, gospel och kraftfull rytmik i denna stil som blomstrade under 1950-talet.
free jazz|Musiker bröt från fasta ackordföljder och ibland även regelbunden puls i denna experimentella riktning från sent 1950-tal.
Delta blues|Denna tidiga bluestradition från Mississippiområdet förknippas med ensamma sångare, akustisk gitarr och artister som Robert Johnson.
Chicago blues|När sydstatsmusiker flyttade norrut förstärktes gitarr och munspel elektriskt i denna urbana efterkrigsstil.
slidegitarr|En metall- eller glasbit glider längs strängarna och skapar långa böjda toner i denna teknik, central i många bluesstilar.
shuffle|Detta rytmiska mönster delar pulsen i en gungande tretaktskänsla och är mycket vanligt i blues.
walking bass|Basisten spelar ofta en ny ton på varje fjärdedel och skapar en kontinuerlig framåtrörelse genom denna jazzteknik.
comping|Piano eller gitarr spelar rytmiska ackord och stödjer solisten genom denna form av ackompanjemang i jazz.
trading fours|Solister och trummis kan turas om att improvisera fyra takter var i denna vanliga jazzform.
head arrangement|Bandet lär sig ett arrangemang på gehör och minne utan fullständigt nedskrivna noter genom denna traditionella arbetsmetod.
rhythm changes|Ackordföljden från Gershwins ”I Got Rhythm” blev grund för otaliga jazzkompositioner och jam.
turnaround|En kort harmonisk följd leder tillbaka mot formens början eller tonikan och är vanlig i både blues och jazz.
AABA-form|Många standards använder fyra åttataktsdelar där den tredje kontrasterar mot de övriga genom denna form.
modal jazz|Musiker improviserar längre över skalor och modala klangfält i stället för täta ackordbyten i denna riktning.
jazz fusion|Elektriska instrument och rock- eller funkrytmer blandades med jazzimprovisation från slutet av 1960-talet.
stride piano|Vänsterhanden växlar mellan baston och ackord över stora avstånd medan högerhanden spelar melodiska figurer i denna pianostil.
boogie-woogie|Piano spelar upprepade basfigurer med kraftig åttondelsdrivning i denna bluesbaserade stil.
second line|Den dansande rytm- och paradtraditionen från New Orleans utvecklades kring brassband och samhällsorganisationer.

@Countrymusik|Vad är
Grand Ole Opry|Den långlivade radioshowen och scenen i Nashville blev en av countrymusikens viktigaste institutioner.
Nashville sound|Stråkar, bakgrundskörer och polerad produktion mjukade upp den traditionella honky-tonk-stilen i denna riktning från 1950-talet.
honky-tonk|Denna hårdare countryform växte fram i barer och danslokaler med sånger om kärlek, alkohol och vardagsproblem.
bluegrass|Snabb akustisk musik med banjo, mandolin, fiol, gitarr och stämsång utvecklades kring Bill Monroe och hans efterföljare.
outlaw country|Artister som Willie Nelson och Waylon Jennings sökte större konstnärlig frihet från Nashvilles etablerade studiosystem under 1970-talet.
Bakersfield sound|Elektriska gitarrer och tydlig trumrytm gav denna kaliforniska countrystil en råare karaktär än det samtida Nashville-soundet.
pedal steel guitar|Detta liggande stränginstrument använder fotpedaler och knäspakar för att böja toner och skapa countrymusikens typiska glidande klang.
Dobro|Den resonatorförsedda gitarren spelas ofta med slide och används inom bluegrass, blues och country.
fiddle tunes|Fiolen spelar snabba dansmelodier med rötter i brittiska, irländska och amerikanska folktraditioner inom country och bluegrass.
Appalachian music|Ballader, fiolmusik, banjo och kyrklig sång från denna bergsregion bidrog starkt till countrymusikens utveckling.
Carter Family|Denna tidiga grupp dokumenterade och populariserade mängder av traditionella sånger och blev en grundpelare i countryhistorien.
[VEM]Jimmie Rodgers|Han kallades Singing Brakeman och blandade blues, järnvägssånger och joddling i några av countrymusikens tidigaste stora inspelningar.
[VEM]Hank Williams|Han skrev klassiker som ”Your Cheatin' Heart” och ”I'm So Lonesome I Could Cry” innan han dog bara 29 år gammal.
[VEM]Patsy Cline|Sångaren bakom ”Crazy” och ”I Fall to Pieces” blev en central röst i den polerade Nashville-eran före sin tidiga död.
[VEM]Loretta Lynn|Kolgruvarbetardottern från Kentucky skrev rakt om kvinnors liv, klass och äktenskap och blev en countryikon.
[VEM]Merle Haggard|Han blev en viktig röst för Bakersfield-soundet och skrev både hårda arbetarsånger och personliga ballader.
[VEM]Townes Van Zandt|Han föddes i Texas och blev kultförklarad för poetiska, ofta melankoliska sånger trots begränsad kommersiell framgång.
[VEM]Gram Parsons|Han förenade rock och country genom grupper som Byrds och Flying Burrito Brothers och beskrev sitt ideal som Cosmic American Music.
[VEM]Emmylou Harris|Hon arbetade tidigt med Gram Parsons och byggde sedan en lång karriär som sångare, harmonist och uttolkare av amerikansk rootsmusik.
[VEM]George Strait|Han har haft en mycket lång karriär med traditionellt präglad country och ett stort antal listettor i USA.
[VEM]Willie Nelson|Med röda flätor och låten ”On the Road Again” blev han en av de mest igenkännliga gestalterna inom outlaw country.
[VEM]Johnny Cash|Hans djupa baryton, svarta kläder och berömda fängelsekonserter gjorde honom till en av amerikansk musiks mest igenkännliga artister.
[VEM]Waylon Jennings|Han gjorde uppror mot Nashvilles kontroll över produktionen och blev en av de centrala artisterna inom outlaw country.
[VILKA]The Louvin Brothers|Bröderna Ira och Charlie blev berömda för täta stämmor och påverkade senare countryrock och americana starkt.
High lonesome sound|Bill Monroes sångstil och bluegrassens höga intensiva stämmor beskrivs ofta med detta uttryck.

